Number,coords.x1,coords.x2
230,653876.4877,7410731.204
231,686939.7221,7411267.134
232,697958.4812,7411123.26
233,728262.6426,7410685.067
234,715419.2697,7411796.933
235,663087.582,7413386.953
236,706248.5573,7412846.616
237,641059.1707,7414532.336
238,649323.4576,7414451.031
239,679627.6874,7414113.282
240,731993.9319,7414301.708
241,775173.3955,7413559.85
242,692520.9216,7416706.636
243,760505.3459,7415664.211
244,637420.3902,7418240.377
245,654871.6122,7418067.835
246,660382.7171,7418009.065
247,684265.3463,7417730.623
248,722849.5672,7417199.206
249,736631.204,7416984.962
250,709081.7761,7418319.298
251,703581.9928,7419314.979
252,715526.4976,7419145.754
253,642957.8385,7420943.804
254,650307.1009,7420870.986
255,727485.7508,7419885.776
256,775276.0986,7419073.778
257,664097.5987,7421643.344
258,630113.1459,7422899.792
259,689835.9485,7422254.698
260,698106.2372,7422146.375
261,741300.2222,7421505.529
262,720189.0271,7423673.059
263,712849.2587,7424699.614
264,768022.758,7424724.538
265,649453.2854,7427312.342
266,677945.5807,7426998.044
267,734953.9344,7427124.501
268,689918.3222,7428688.44
269,779108.5725,7427279.832
270,666946.9869,7429883.806
271,696365.6945,7429524.107
272,716593.0139,7429242.978
273,723948.8371,7429133.91
274,684425.3695,7430596.64
275,729480.0666,7429969.26
276,644902.8191,7431953.878
277,740544.9908,7431634.115
278,692735.8489,7433250.203
279,775515.0832,7431947.619
280,652285.819,7434638.716
281,721258.7801,7433773.358
282,687241.44,7435159.919
283,710247.8204,7435772.877
284,780166.8883,7434621.925
285,729579.368,7436407.667
286,695567.0931,7438732.898
287,718566.9559,7438413.604
288,765494.1864,7437652.06
289,725021.2038,7439237.93
290,676270.5657,7440813.546
291,650521.0245,7442015.408
292,683653.2731,7442564.987
293,710338.6021,7442213.122
294,747151.0037,7441649.445
295,756355.1233,7441494.324
296,645019.0701,7443910.051
297,691946.4449,7443381.088
298,721395.3068,7442973.866
299,782163.8113,7442870.979
300,715899.9445,7444895.386
301,771132.7317,7443996.08
302,653328.1392,7446587.967
303,706708.5841,7445945.825
304,726038.7651,7445666.306
305,659779.8999,7447440.895
306,680948.5421,7447200.005
307,689255.6233,7448938.578
308,773074.8429,7449487.719
309,678242.0619,7451835.837
310,717834.5061,7451313.123
311,684698.2586,7452678.608
312,699430.8713,7452490.049
313,708639.1956,7452364.845
314,725228.9132,7453046.161
315,655254.4475,7454853.742
316,730768.9813,7453883.258
317,779590.8039,7453053.578
318,711440.6641,7455089.018
319,722493.2984,7454929.399
320,728954.9557,7455753.658
321,778720.795,7455834.805
322,772287.436,7456874.456
323,674644.9617,7459246.324
324,643363.455,7463261.721
325,725366.9023,7462258.726
326,775136.089,7461432.304
327,721734.961,7465999.939
328,734639.8317,7465804.875
329,641572.7957,7468807.652
330,710699.9594,7468001.864
331,727307.1382,7468683.264
332,683991.1681,7470194.524
333,722751.7824,7472440.023
334,734740.027,7472258.886
335,639780.7073,7474355.323
336,695112.7821,7474665.938
337,677603.3057,7475803.52
338,713569.4995,7475339.47
339,731107.53,7476004.813
340,773542.7694,7475298.637
341,660102.534,7477842.945
342,637995.5742,7480827.015
343,697028.9482,7480176.038
344,716402.1184,7479912.384
345,704421.4304,7481001.066
346,726564.3799,7480687.043
347,777317.5359,7479845.446
348,788410.3117,7480562.235
349,719249.6525,7485409.197
350,787609.3886,7487042.232
351,728534.3926,7488965.775
352,700852.8367,7490278.711
353,723008.8754,7489970.957
354,784925.3968,7491711.941
355,706441.5703,7493897.825
356,676906.1787,7495191.656
357,727693.8119,7494519.649
358,740652.4484,7496168.861
359,724067.3993,7499192.401
360,772142.2322,7500262.452
361,676991.5426,7502579.99
362,729665.4788,7502805.973
363,698286.7086,7506015.927
364,714920.4149,7505792.255
365,755585.9028,7505169.549
366,723264.5679,7507522.091
367,738977.796,7507285.901
368,675217.7714,7509068.867
369,728851.5246,7510213.708
370,703916.8756,7512413.322
371,712262.7397,7514150.087
372,698405.7885,7515259.334
373,720597.6694,7514957.976
374,727070.711,7514864.057
375,734496.8145,7516603.034
376,703077.5687,7518898.176
377,708639.2642,7519749.162
378,716963.8294,7519634.573
379,722527.0214,7520480.705
380,790992.3111,7519343.903
381,696638.9323,7521756.643
382,729029.8366,7522236.436
383,704988.5693,7523498.774
384,712389.8211,7523399.029
385,698548.2252,7526358.745
386,717067.5598,7527036.093
387,726321.8685,7526903.817
388,703223.1574,7530000.455
389,711552.9998,7529889.219
390,740261.385,7530397.523
391,696768.0336,7531934.983
392,719922.4436,7532550.524
393,749548.6633,7532103.253
394,700518.216,7535590.599
395,706073.3326,7535518.062
396,732924.9763,7535139.481
397,805164.9035,7533890.872
398,743125.4241,7535909.795
399,714431.7504,7537257.441
400,727423.2545,7538925.862
401,708925.3956,7541037.29
402,738580.1014,7541538.72
403,703392.3594,7542963.165
404,720066.2393,7542737.161
405,714520.8625,7543740.841
406,732123.0285,7543489.288
407,758992.3901,7543067.036
408,725664.5996,7545437.265
409,708073.1848,7546607.861
410,701599.4882,7547619.295
411,718291.101,7548322.261
412,734999.8406,7549934.462
413,712768.8199,7551179.005
414,722964.1231,7551037.34
415,728552.4098,7552811.161
416,797162.6936,7551661.733
417,803654.2463,7551537.428
418,707244.6665,7554034.134
419,769376.4347,7554018.463
420,742500.8439,7555383.9
421,762900.9359,7555055.768
422,701718.6382,7556887.648
423,720261.5652,7556638.754
424,808364.0888,7555157.071
425,734183.5918,7557364.976
426,708245.3174,7559584.678
427,726792.0621,7559328.347
428,739789.8631,7560063.351
429,815859.835,7558720.825
430,773214.5533,7561374.745
431,731497.1308,7563898.513
432,738004.9225,7564729.581
433,745427.0933,7564615.869
434,740802.3618,7565615.144
435,766783.1112,7565197.375
436,728754.4787,7566722.337
437,746412.7992,7568313.018
438,774303.5024,7570639.044
