REMIND;FFrun111;World;Concentration|CO2; ppm;379.85;390.71055;403.75361;418.36182;434.48997;452.10752;470.66668;490.78354;512.84962;537.43435;564.43615;593.67764;657.09521;725.15127;791.46702;851.38583
REMIND;FFrun111;World;Concentration|CH4; ppb;1753.16;1816.425;1914.6479;2032.5873;2174.1532;2323.5472;2465.9267;2613.0455;2780.1868;2973.8369;3167.0687;3323.5181;3561.5426;3740.315;3746.0457;3631.0594
REMIND;FFrun111;World;Concentration|N2O; ppb;319.855;322.88996;326.49822;330.68373;335.30415;340.29561;345.60965;351.20681;357.02776;362.99218;368.9645;374.95268;387.1966;399.82651;412.39742;424.50786
REMIND;FFrun111;World;Forcing; W/m2;1.812129;1.964442;2.165016;2.475875;2.801574;3.086715;3.350545;3.638637;3.953644;4.282581;4.626115;4.986721;5.730635;6.407085;6.949304;7.356961
REMIND;FFrun111;World;Forcing|Kyoto Gases; W/m2;2.346773;2.539388;2.770633;3.022547;3.2934;3.575604;3.856922;4.147425;4.454092;4.781941;5.119417;5.453299;6.10146;6.716523;7.225871;7.623244
REMIND;FFrun111;World;Temperature|Global Mean; K;0.89981;0.92029;1.005629;1.13565;1.31253;1.456857;1.638653;1.782971;1.98514;2.157261;2.374689;2.577063;3.038555;3.49307;3.898393;4.224234
REMIND;FFrun111;World;Emissions|NOx; Mt NO2/yr;105.363329;103.741501;100.900014;98.056886;95.128656;92.200102;91.813042;91.425327;88.267101;85.107886;82.389287;79.669371;66.377341;55.842358;50.777098;45.885001
REMIND;FFrun111;World;Emissions|CO; Mt CO/yr;1060.2623;1039.5337;1031.9484;1024.3631;1026.0775;1027.7915;1039.0591;1050.3265;1042.0033;1033.6797;1014.6008;995.5218;936.19;872.6646;832.4904;791.9972
REMIND;FFrun111;World;Forcing|Montreal Gases; W/m2;0.32113;0.315726;0.309446;0.302872;0.295472;0.287226;0.276788;0.2594;0.235109;0.209841;0.186681;0.166352;0.133705;0.109226;0.090305;0.07647
REMIND;FFrun111;World;Forcing|CO2; W/m2;1.689784;1.840672;2.016433;2.206666;2.409127;2.62187;2.837198;3.061212;3.296608;3.547228;3.809606;4.079952;4.62318;5.150666;5.619043;6.009646
REMIND;FFrun111;World;Forcing|CH4; W/m2;0.48015;0.503612;0.53922;0.580752;0.628996;0.67818;0.723558;0.769046;0.819146;0.87528;0.929434;0.972034;1.034893;1.080676;1.082125;1.052836
REMIND;FFrun111;World;Forcing|N2O; W/m2;0.155711;0.165289;0.176616;0.189676;0.203997;0.219355;0.235581;0.252535;0.270022;0.287791;0.305435;0.322982;0.358423;0.394391;0.429624;0.463055
REMIND;FFrun111;World;Forcing|F-Gases; W/m2;0.021128;0.029815;0.038365;0.045452;0.051281;0.056199;0.060585;0.064633;0.068318;0.071642;0.074941;0.078331;0.084964;0.09079;0.095079;0.097706
REMIND;FFrun111;World;Forcing|Aerosol; W/m2;-1.13878;-1.19593;-1.24624;-1.201541;-1.156012;-1.161245;-1.186557;-1.188011;-1.166176;-1.149284;-1.129359;-1.089144;-0.959437;-0.869451;-0.805072;-0.761043
REMIND;FFrun111;World;Forcing|Aerosol|Sulfate Direct; W/m2;-0.414351;-0.466381;-0.514161;-0.487675;-0.451188;-0.447926;-0.456496;-0.447388;-0.421983;-0.397542;-0.374095;-0.34405;-0.275113;-0.230663;-0.192362;-0.176644
REMIND;FFrun111;World;Forcing|Aerosol|Cloud Indirect; W/m2;-0.705318;-0.727234;-0.748185;-0.73891;-0.720227;-0.71298;-0.712924;-0.704209;-0.685131;-0.665289;-0.647732;-0.628596;-0.581351;-0.548825;-0.523409;-0.507799
REMIND;FFrun111;World;Forcing|Aerosol|BC and OC; W/m2;0.25371;0.268876;0.282879;0.279724;0.264218;0.251184;0.242822;0.2306;0.211713;0.190253;0.172875;0.161033;0.146917;0.138134;0.128318;0.12584
REMIND;FFrun111;World;Forcing|Aerosol|Nitrate Direct; W/m2;-0.099906;-0.098246;-0.095549;-0.092844;-0.090072;-0.087542;-0.087181;-0.086557;-0.083565;-0.080613;-0.078037;-0.075087;-0.062613;-0.052876;-0.048077;-0.041481
REMIND;FFrun111;World;Forcing|Aerosol|Other; W/m2;-0.071376;-0.065856;-0.05897;-0.050894;-0.053731;-0.063861;-0.075675;-0.087756;-0.101279;-0.11786;-0.130317;-0.134545;-0.124159;-0.114996;-0.112594;-0.104785
REMIND;FFrun111;World;Forcing|Tropospheric Ozone; W/m2;0.347874;0.35173;0.35681;0.36286;0.37053;0.378142;0.387621;0.397603;0.404487;0.41132;0.417376;0.420951;0.413472;0.404255;0.394692;0.380667
REMIND;FFrun111;World;Forcing|Other; W/m2;-0.064868;-0.046471;-0.025633;-0.010863;-0.001816;0.006987;0.015772;0.02222;0.026131;0.028764;0.032;0.035263;0.041435;0.046532;0.043507;0.037623
REMIND;FFrun111;World;Forcing|Albedo Change and Mineral Dust; W/m2;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3
REMIND;FFrun111;World;Forcing|AN3A; W/m2;2.212034;2.362688;2.560565;2.868719;3.191647;3.474257;3.737726;4.025194;4.337209;4.663194;5.004151;5.361808;6.093248;6.759961;7.29738;7.698442
REMIND;FFrun112;World;Concentration|CO2; ppm;379.85;390.71036;403.27831;416.24646;429.55151;443.38106;457.21583;471.12671;484.6613;497.60619;509.13474;518.9449;532.59989;538.47872;537.04381;531.26854
REMIND;FFrun112;World;Concentration|CH4; ppb;1753.16;1815.386;1890.1217;1934.5808;1962.9774;1988.5516;2009.7223;2026.0479;2033.4367;2019.5757;1975.4418;1912.5485;1764.4658;1637.6416;1557.0143;1492.5291
REMIND;FFrun112;World;Concentration|N2O; ppb;319.855;322.88996;326.37476;330.16685;334.22498;338.52599;342.97429;347.50562;352.0234;356.43121;360.65221;364.71806;372.60331;380.16373;387.189;393.35881
REMIND;FFrun112;World;Forcing; W/m2;1.811539;1.962648;2.184878;2.493835;2.783188;3.026209;3.246777;3.46677;3.656791;3.812093;3.921343;4.00112;4.102081;4.145034;4.125194;4.072279
REMIND;FFrun112;World;Forcing|Kyoto Gases; W/m2;2.346773;2.539525;2.757724;2.965693;3.166952;3.36761;3.561237;3.749062;3.923767;4.078232;4.202277;4.299026;4.417605;4.459407;4.439601;4.374707
REMIND;FFrun112;World;Temperature|Global Mean; K;0.899593;0.919274;1.013272;1.149285;1.320488;1.452492;1.619809;1.742007;1.899833;2.004121;2.122135;2.195336;2.332319;2.429929;2.486793;2.508583
REMIND;FFrun112;World;Emissions|NOx; Mt NO2/yr;105.363329;105.8506;101.003513;96.155772;89.003757;81.851084;77.843829;73.835585;71.761642;69.687044;71.59637;73.505043;73.403186;65.737285;58.949987;50.420599
REMIND;FFrun112;World;Emissions|CO; Mt CO/yr;1060.2623;1029.4066;1005.3195;981.2322;952.8881;924.5438;900.3925;876.2409;847.4462;818.6513;798.2843;777.9169;711.8659;663.366;636.3985;607.3897
